vpn-eu.infra.net	Internal Tools / Infrastructure
demo5.service.dev	Staging / Development / Testing
demo-eu.app.test	Staging / Development / Testing
ci5.infra.net	Internal Tools / Infrastructure
css-prod.media.io	CDN / Storage / Assets
partner.mobile.com	Mobile / Partner / Integration
vpn.internal.com	Internal Tools / Infrastructure
invoice2.billing.org	Payment / Transactional
console-us.example.com	Administrative / Management Interfaces
images-asia.media.io	CDN / Storage / Assets
mobile-eu.api.org	Mobile / Partner / Integration
wordpress-staging.website.com	Marketing / Content / CMS
waf-eu.ssl.co	Security Services
data3.database.co	Database / Data Services
login.sso.co	Authentication / Identity
dev.app.test	Staging / Development / Testing
cms-test.cms.org	Marketing / Content / CMS
monitor-dev.health.co	Monitoring / Logging
rest-asia.app.dev	APIs
assets-prod.assets.net	CDN / Storage / Assets
service-west.system.net	APIs
metrics.metrics.net	Monitoring / Logging
endpoint.tech.co	APIs
dashboard3.app.io	Administrative / Management Interfaces
ios4.app.io	Mobile / Partner / Integration
deploy.internal.com	Internal Tools / Infrastructure
about1.marketing.co	Marketing / Content / CMS
saml.auth.io	Authentication / Identity
identity3.login.net	Authentication / Identity
alpha.company.com	Staging / Development / Testing
js.media.io	CDN / Storage / Assets
sandbox-staging.product.io	Staging / Development / Testing
api.app.dev	APIs
control1.site.net	Administrative / Management Interfaces
integration2.integration.co	Mobile / Partner / Integration
build-west.internal.com	Internal Tools / Infrastructure
android.api.org	Mobile / Partner / Integration
payments-asia.store.net	Payment / Transactional
logs-test.health.co	Monitoring / Logging
admin.site.net	Administrative / Management Interfaces
webhook2.system.net	APIs
test2.service.dev	Staging / Development / Testing
db.storage.net	Database / Data Services
static-dev.content.com	CDN / Storage / Assets
cdn-west.static.org	CDN / Storage / Assets
api.tech.co	APIs
identity2service.login.net	Authentication / Identity
app-west.partner.net	Mobile / Partner / Integration
billing-staging.store.net	Payment / Transactional
mysql-staging.data.com	Database / Data Services
cdn3.media.io	CDN / Storage / Assets
mysql.db.io	Database / Data Services
dev1app.service.dev	Staging / Development / Testing
jenkins.ops.co	Internal Tools / Infrastructure
beta-dev.company.com	Staging / Development / Testing
endpoint3.service.io	APIs
git.tools.io	Internal Tools / Infrastructure
jira-app.ops.co	Internal Tools / Infrastructure
partner1.partner.net	Mobile / Partner / Integration
staging-staging.product.io	Staging / Development / Testing
endpoint-staging.platform.com	APIs
demo2.app.test	Staging / Development / Testing
sandbox.service.dev	Staging / Development / Testing
uptime-test.monitor.com	Monitoring / Logging
elastic.storage.net	Database / Data Services
help.website.com	Marketing / Content / CMS
staging2.company.com	Staging / Development / Testing
jira3.infra.net	Internal Tools / Infrastructure
accounts4.login.net	Authentication / Identity
jira3app.ops.co	Internal Tools / Infrastructure
careers5.marketing.co	Marketing / Content / CMS
app-us.app.io	Mobile / Partner / Integration
cert-eu.firewall.org	Security Services
status5.uptime.org	Monitoring / Logging
deploy-us.tools.io	Internal Tools / Infrastructure
jira3service.devops.org	Internal Tools / Infrastructure
health-east.monitor.com	Monitoring / Logging
wordpress1web.content.net	Marketing / Content / CMS
jenkins-dev.ops.co	Internal Tools / Infrastructure
api.service.io	APIs
graphql.app.dev	APIs
webhook-east.system.net	APIs
firewall-test.vpn.net	Security Services
sql-prod.database.co	Database / Data Services
ios-prod.app.io	Mobile / Partner / Integration
api.platform.com	APIs
careers-staging.content.net	Marketing / Content / CMS
cms4.website.com	Marketing / Content / CMS
billing-eu.commerce.com	Payment / Transactional
stripe.payment.co	Payment / Transactional
status.health.co	Monitoring / Logging
health.uptime.org	Monitoring / Logging
m1.partner.net	Mobile / Partner / Integration
billing.store.net	Payment / Transactional
ssl.firewall.org	Security Services
monitor.metrics.net	Monitoring / Logging
help1.blog.io	Marketing / Content / CMS
files.content.com	CDN / Storage / Assets
cert-us.security.io	Security Services
static.static.org	CDN / Storage / Assets
mysql.analytics.org	Database / Data Services
preprod.platform.net	Staging / Development / Testing
sql.storage.net	Database / Data Services
admin.app.io	Administrative / Management Interfaces
waf-us.vpn.net	Security Services
idp.login.net	Authentication / Identity
about4.cms.org	Marketing / Content / CMS
monitor2.health.co	Monitoring / Logging
checkout-eu.payment.co	Payment / Transactional
vpn1.firewall.org	Security Services
blog.cms.org	Marketing / Content / CMS
vpn-asia.firewall.org	Security Services
demo.company.com	Staging / Development / Testing
ping-west.status.io	Monitoring / Logging
rest2.service.io	APIs
drupal.cms.org	Marketing / Content / CMS
dev4.platform.net	Staging / Development / Testing
js.static.org	CDN / Storage / Assets
cms-west.blog.io	Marketing / Content / CMS
careers-prod.blog.io	Marketing / Content / CMS
dashboard-west.company.org	Administrative / Management Interfaces
data-staging.data.com	Database / Data Services
sandbox-test.company.com	Staging / Development / Testing
payments5.payment.co	Payment / Transactional
demo.product.io	Staging / Development / Testing
checkout3.shop.io	Payment / Transactional
integration3.api.org	Mobile / Partner / Integration
jira-asia.infra.net	Internal Tools / Infrastructure
ci-asia.internal.com	Internal Tools / Infrastructure
checkout-staging.shop.io	Payment / Transactional
alpha-prod.service.dev	Staging / Development / Testing
monitor-staging.status.io	Monitoring / Logging
logs-asia.status.io	Monitoring / Logging
security3.vpn.net	Security Services
wordpress.blog.io	Marketing / Content / CMS
dashboard.service.co	Administrative / Management Interfaces
identity-us.secure.com	Authentication / Identity
beta-us.company.com	Staging / Development / Testing
microservice4.app.dev	APIs
ssl-app.security.io	Security Services
about-us.marketing.co	Marketing / Content / CMS
